"Местное время в Перми";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"01.04.2021 05:00";"0.1";"741.4";"757.4";"-2.1";"90";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"2.0";"-1.3";"";"";"";"";"";"";
"01.04.2021 02:00";"0.7";"743.5";"759.5";"-1.0";"85";"Ветер, дующий с юго-юго-запада";"5";"";"12";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.5";"";"";"";"";"";"";
"31.03.2021 23:00";"0.7";"744.5";"760.5";"-0.6";"84";"Ветер, дующий с юго-юго-запада";"5";"";"12";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.7";"";"";"";"";"";"";
"31.03.2021 20:00";"0.5";"745.1";"761.2";"-0.3";"82";"Ветер, дующий с юга";"5";"10";"17";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"5.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-2.3";"0.1";"12";"";"";"";"";
"31.03.2021 17:00";"4.3";"745.4";"761.2";"-0.9";"46";"Ветер, дующий с юго-юго-запада";"8";"17";"17";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2000-2500";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-6.5";"";"";"";"";"";"";
"31.03.2021 14:00";"5.1";"746.3";"762.1";"-1.4";"34";"Ветер, дующий с юго-юго-запада";"7";"14";"15";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2000-2500";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"20.0";"-9.7";"";"";"";"";"";"";
"31.03.2021 11:00";"2.8";"747.7";"763.7";"-1.5";"32";"Ветер, дующий с юга";"5";"";"13";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2000-2500";"Высокослоистые просвечивающие.";"";"20.0";"-12.4";"";"";"";"";"";"";
"31.03.2021 08:00";"-0.3";"749.2";"765.4";"-1.5";"42";"Ветер, дующий с юга";"4";"";"";"100%.";" ";"";"";"-0.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-11.9";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"48.0";
"31.03.2021 05:00";"-0.2";"750.7";"766.9";"-1.2";"42";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"20.0";"-11.8";"";"";"";"";"";"";
"31.03.2021 02:00";"1.4";"751.9";"768.1";"-1.1";"34";"Ветер, дующий с юго-юго-запада";"4";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-12.8";"";"";"";"";"";"";
"30.03.2021 23:00";"3.4";"753.0";"769.0";"-0.9";"28";"Ветер, дующий с юго-юго-запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-13.4";"";"";"";"";"";"";
"30.03.2021 20:00";"6.0";"753.9";"769.8";"-0.9";"24";"Ветер, дующий с юго-запада";"3";"";"";"20–30%.";" ";"";"";"";"9.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-13.1";"Осадков нет";"12";"";"";"";"";
"30.03.2021 17:00";"9.3";"754.8";"770.5";"-1.3";"16";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-15.3";"";"";"";"";"";"";
"30.03.2021 14:00";"8.5";"756.1";"772.0";"-0.4";"27";"Ветер, дующий с западо-юго-запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-9.8";"";"";"";"";"";"";
"30.03.2021 11:00";"6.2";"756.5";"772.5";"0.1";"38";"Ветер, дующий с юга";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-7.3";"";"";"";"";"";"";
"30.03.2021 08:00";"-3.4";"756.4";"772.9";"0.3";"89";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"-4.9";"";"";"";"";"";"";"20.0";"-5.0";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"51.0";
"30.03.2021 05:00";"-3.8";"756.1";"772.6";"0.3";"87";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-5.7";"";"";"";"";"";"";
"30.03.2021 02:00";"-2.5";"755.8";"772.2";"0.3";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-4.9";"";"";"";"";"";"";
"29.03.2021 23:00";"0.3";"755.5";"771.7";"0.6";"73";"Ветер, дующий с юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-4.0";"";"";"";"";"";"";
"29.03.2021 20:00";"2.8";"754.9";"770.9";"0.8";"61";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"7.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-4.0";"Осадков нет";"12";"";"";"";"";
"29.03.2021 17:00";"6.7";"754.1";"770.0";"0.6";"44";"Ветер, дующий с северо-северо-запада";"3";"";"10";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-4.7";"";"";"";"";"";"";
"29.03.2021 14:00";"6.7";"753.5";"769.3";"0.0";"33";"Ветер, дующий с северо-северо-запада";"4";"10";"10";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-8.5";"";"";"";"";"";"";
"29.03.2021 11:00";"3.4";"753.5";"769.6";"0.4";"36";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-10.5";"";"";"";"";"";"";
"29.03.2021 08:00";"-1.1";"753.1";"769.3";"0.4";"46";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"-3.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-11.4";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"52.0";
"29.03.2021 05:00";"-1.9";"752.7";"769.0";"0.3";"46";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"20.0";"-12.2";"";"";"";"";"";"";
"29.03.2021 02:00";"-0.6";"752.4";"768.7";"0.6";"40";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-12.7";"";"";"";"";"";"";
"28.03.2021 23:00";"1.9";"751.8";"767.9";"0.3";"32";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-13.2";"";"";"";"";"";"";
"28.03.2021 20:00";"3.8";"751.5";"767.5";"0.3";"26";"Ветер, дующий с северо-запада";"3";"";"";"40%.";" ";"";"";"";"5.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"20.0";"-13.9";"Осадков нет";"12";"";"";"";"";
"28.03.2021 17:00";"5.9";"751.2";"767.1";"-0.4";"23";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-13.6";"";"";"";"";"";"";
"28.03.2021 14:00";"4.0";"751.6";"767.5";"-0.6";"30";"Ветер, дующий с севера";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-12.1";"";"";"";"";"";"";
"28.03.2021 11:00";"0.5";"752.2";"768.4";"0.6";"45";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-10.1";"";"";"";"";"";"";
"28.03.2021 08:00";"-5.6";"751.6";"768.1";"1.1";"68";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"-9.0";"";"";"";"";"";"";"20.0";"-10.7";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"53.0";
"28.03.2021 05:00";"-6.0";"750.5";"767.1";"0.9";"64";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-11.7";"";"";"";"";"";"";
"28.03.2021 02:00";"-4.6";"749.6";"766.0";"1.3";"60";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-11.3";"";"";"";"";"";"";
"27.03.2021 23:00";"-2.1";"748.3";"764.5";"1.5";"52";"Ветер, дующий с севера";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-10.8";"";"";"";"";"";"";
"27.03.2021 20:00";"0.8";"746.8";"762.8";"1.8";"46";"Ветер, дующий с севера";"4";"";"11";"20–30%.";" ";"";"";"";"4.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"20.0";"-9.6";"Осадков нет";"12";"";"";"";"";
"27.03.2021 17:00";"3.8";"745.0";"760.9";"0.6";"44";"Ветер, дующий с севера";"5";"10";"12";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-7.6";"";"";"";"";"";"";
"27.03.2021 14:00";"3.6";"744.4";"760.2";"0.4";"42";"Ветер, дующий с северо-северо-запада";"5";"10";"10";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-8.3";"";"";"";"";"";"";
"27.03.2021 11:00";"1.3";"744.0";"760.0";"0.8";"64";"Ветер, дующий с севера";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-4.9";"";"";"";"";"";"";
"27.03.2021 08:00";"-1.1";"743.2";"759.2";"1.1";"75";"Ветер, дующий с севера";"2";"";"";"20–30%.";" ";"";"";"-1.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-5.0";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"56.0";
"27.03.2021 05:00";"0.4";"742.1";"758.1";"0.4";"73";"Ветер, дующий с севера";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"-4.0";"";"";"";"";"";"";
"27.03.2021 02:00";"2.3";"741.7";"757.5";"0.0";"66";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-3.5";"";"";"";"";"";"";
"26.03.2021 23:00";"3.0";"741.7";"757.5";"1.1";"64";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"20.0";"-3.3";"";"";"";"";"";"";
"26.03.2021 20:00";"6.5";"740.6";"756.2";"0.1";"50";"Ветер, дующий с западо-северо-запада";"3";"";"";"60%.";" ";"";"";"";"9.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-3.4";"Осадков нет";"12";"";"";"";"";
"26.03.2021 17:00";"9.5";"740.5";"755.9";"-0.5";"39";"Ветер, дующий с западо-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-4.0";"";"";"";"";"";"";
"26.03.2021 14:00";"8.6";"741.0";"756.4";"-0.3";"41";"Ветер, дующий с юго-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-4.0";"";"";"";"";"";"";
"26.03.2021 11:00";"4.0";"741.3";"757.0";"-0.3";"54";"Ветер, дующий с юго-юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-4.5";"";"";"";"";"";"";
"26.03.2021 08:00";"-0.5";"741.6";"757.6";"0.1";"71";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"-1.6";"";"";"";"";"";"";"20.0";"-5.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"61.0";
"26.03.2021 05:00";"0.2";"741.5";"757.5";"0.0";"68";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-5.0";"";"";"";"";"";"";
"26.03.2021 02:00";"2.0";"741.5";"757.3";"0.1";"62";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-4.5";"";"";"";"";"";"";
"25.03.2021 23:00";"3.2";"741.4";"757.3";"0.6";"57";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-4.6";"";"";"";"";"";"";
"25.03.2021 20:00";"5.1";"740.8";"756.4";"-0.6";"48";"Ветер, дующий с юго-юго-запада";"4";"";"";"Облаков нет.";" ";"";"";"";"7.5";"";"";"";"";"";"20.0";"-5.1";"Осадков нет";"12";"";"";"";"";
"25.03.2021 17:00";"7.4";"741.4";"756.9";"-1.2";"40";"Ветер, дующий с юго-юго-запада";"5";"";"11";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.6";"";"";"";"";"";"";
"25.03.2021 14:00";"5.2";"742.6";"758.2";"-0.7";"43";"Ветер, дующий с юго-юго-запада";"5";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.4";"";"";"";"";"";"";
"25.03.2021 11:00";"1.5";"743.3";"759.3";"-0.5";"51";"Ветер, дующий с юго-запада";"4";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-7.7";"";"";"";"";"";"";
"25.03.2021 08:00";"-2.9";"743.8";"760.0";"0.1";"65";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";" ";"";"";"-4.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-8.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"65.0";
"25.03.2021 05:00";"-2.5";"743.7";"759.9";"0.3";"64";"Ветер, дующий с юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-8.5";"";"";"";"";"";"";
"25.03.2021 02:00";"0.1";"743.4";"759.4";"0.8";"57";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-7.6";"";"";"";"";"";"";
"24.03.2021 23:00";"0.6";"742.6";"758.5";"1.1";"53";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Буря";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"-7.9";"";"";"";"";"";"";
"24.03.2021 20:00";"0.8";"741.5";"757.5";"0.4";"51";"Ветер, дующий с запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Буря";"";"1.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-8.3";"Следы осадков";"12";"";"";"";"";
"24.03.2021 17:00";"1.0";"741.1";"757.1";"-0.9";"50";"Ветер, дующий с западо-юго-запада";"4";"11";"";"100%.";"Снег неливневый. ";"Буря";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"20.0";"-8.3";"";"";"";"";"";"";
"24.03.2021 14:00";"0.8";"742.0";"758.0";"-0.8";"51";"Ветер, дующий с юго-запада";"5";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Буря";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высокослоистые просвечивающие.";"";"20.0";"-8.4";"";"";"";"";"";"";
"24.03.2021 11:00";"-0.3";"742.8";"758.8";"0.2";"68";"Ветер, дующий с юго-запада";"3";"";"";"40%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.5";"";"";"";"";"";"";
"24.03.2021 08:00";"-2.4";"742.6";"758.8";"0.2";"86";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"-2.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-4.5";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"66.0";
"24.03.2021 05:00";"-2.4";"742.4";"758.5";"0.3";"86";"Ветер, дующий с юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-4.5";"";"";"";"";"";"";
"24.03.2021 02:00";"-2.1";"742.1";"758.2";"0.7";"87";"Ветер, дующий с юго-запада";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-4.0";"";"";"";"";"";"";
"23.03.2021 23:00";"-2.0";"741.4";"757.6";"0.4";"88";"Ветер, дующий с юго-юго-запада";"1";"";"";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.7";"";"";"";"";"";"";
"23.03.2021 20:00";"-1.2";"741.0";"757.0";"0.8";"88";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-0.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-3.0";"3.0";"12";"";"";"";"";
